voyageid,voyagerank,voyagename,port,sailingfrom,ground,yearout,dayout,yearin,dayin,returncode,agentid,agent,bone,sperm,oil,customsdistrict,logbookexists,aowllink,crewlistlink,source,masterid,master,fate,birth,birthlocation,death,deathlocation,wife,wifetosea,vitalrecordssource,lateroccupation,vesselid,vessel,rig,tonnage,builtplace,builtdate,end,denniswood,logbookscan,voyagecode,boatcode,max_distance,years,price_sperm,price_sperm_real,price_oil,price_oil_real,price_bone,price_bone_real,lost,lost_total,_merge2,product,product_nom,tonn_avg,enddate,life,duration,mastercode,age,lay,_merge,Total,experience,re_prod,n_voyage,l_re_prod,change_boat,stay_boat
AV11811,1,Polar Star : 1852-1856,"New Bedford, MA",,,1852,1852,1856,1856,L,AA1305,"Tucker, Charles R. & Co.",13949,199,1268,New Bedford,,NULL,1,"1, 4, 41, 47, 5, 76, 564",AM2635 ?,"Holley, Joseph*** ?",L,"Nov 19, 1804","Edgartown, MA","?Feb 25, 1863","Edgartown, MA",Lucy Norton Ripley,1,"564, 574",,AS0544,Polar Star,Ship,475/465,"Mattapoisett, MA",1852,"Lost Okhotsk Sea, May, 1861",,NULL,10727,532,,4,1.2375,1.41,.68167001,.76999998,.50749999,.57999998,.084269665,15,Matched (3),60882.32,53725.16,470,1861,,4,2272,,.083333336,both in master and using data,1,1,15220.58,1,,,
AV15393,1,Washington : 1853-1857,"New Bedford, MA",,Pacific,1853,1853,1857,1857,C,AA0140,"Bourne, Jonathan, Jr.",37033,73,2682,New Bedford,NBL,NULL,1,"1, 4, 6, 41, 7, 395, 5, 564",AM2636,"Holley, Richard, Jr.",,"Jan 31, 1829","Chilmark, MA","Jan 18, 1898","Edgartown, MA",Sophronia S. Lewis,,"564, 665",,AS0686,Washington,Bark / Ship,344/332,"Providence, RI",1819,"Cond at San Francisco, Aug, 1868",2-664; 3-302,NULL,13992,675,,4,1.2474999,1.29,.58125001,.60000002,.345,.36000001,.074193545,23,Matched (3),84873.422,82075.547,338,1868,,4,2273,,.06666667,both in master and using data,4,1,21218.355,1,,,
AV13834,1,Thomas Nye : 1857-1861,"New Bedford, MA",,North Oceans,1857,1857 Sep 30,1861,1861,L,AA0930,"Nye, T. & A. R.",31516,196,2654,New Bedford,,NULL,1,"1, 4, 41, 7, 395, 5, 564",AM2636,"Holley, Richard, Jr.",,"Jan 31, 1829","Chilmark, MA","Jan 18, 1898","Edgartown, MA",Sophronia S. Lewis,,"564, 665",,AS0650,Thomas Nye,Ship,461,"Fairhaven, MA",1851,"Sold to Australia, 1867; wrecked, July 14, 1886",3-288,NULL,12563,641,,4,1.2833,1.16,.73250002,.66000003,.96749997,.87,.10472973,31,Matched (3),110536.92,122706.16,461,1886,,4,2273,,,both in master and using data,4,2,27634.23,2,21218.355,1,
AV15471,1,Waverly : 1863-1865,"New Bedford, MA",,N Pacific,1863,1863 Nov 24,1865,1865 Jun 28,B,AA0713,"Kempton, David B.",8300,0,500,New Bedford,,NULL,1,"1, 4, 41, 5, 7, 452, 564",AM2636,"Holley, Richard, Jr.",,"Jan 31, 1829","Chilmark, MA","Jan 18, 1898","Edgartown, MA",Sophronia S. Lewis,,"564, 665",,AS0688,Waverly,Bark / Ship,327,"Rochester, MA-Mattapoisett, MA",1835,"Burned by Shenandoah, June 28, 1865",4-211,NULL,14060,677,,2,1.61,1.21,.95249999,.72000003,1.53,1.15,.095808387,16,Matched (3),24665,32701.5,327,1865,,2,2273,,,both in master and using data,4,3,12332.5,3,27634.23,1,
AV07187,1,Islander : 1865-1869,"New Bedford, MA",,Pacific,1865,1865 Nov 11,1869,1869,C,AA0713,"Kempton, David B.",37915,696,2357,New Bedford,KWM,NULL,1,"1, 4, 6, 41, 7, 5, 395, 564",AM2636,"Holley, Richard, Jr.",,"Jan 31, 1829","Chilmark, MA","Jan 18, 1898","Edgartown, MA",Sophronia S. Lewis,,"564, 665",,AS0312,Islander,Bark,347/241,"Fairhaven, MA",1856,"Broken up at Hobart, 1890",4-342; 4-94,1,6584,305,,4,2.25,1.22,1.45,.77999997,1.71,.92000002,.10344828,15,Matched (3),147760.16,274147.97,294,1890,,4,2273,,,both in master and using data,4,4,36940.039,4,12332.5,1,
AV04168,1,Eliza Adams : 1842-1845,"Fairhaven, MA",,Pacific,1842,1842 Jul 12,1845,1845 Dec 23,C,AA0003,"Adams, Atkins",0,2100,200,New Bedford,,NULL,1,"1, 4, 41, 7, 395",AM2637,"Holley, William",,,,,,,,,,AS0199,Eliza Adams,Ship,408/403,"Fairhaven, MA",1835,"Broken up, 1897",1-149,NULL,3822,198,,3,.73000002,.88999999,.33750001,.41,.24909,.30000001,.094117649,24,Matched (3),81942,67221,405.5,1897,,3,2274,,.0625,both in master and using data,2,1,27314,1,,,
AV03453,1,Courier : 1846-1850,"New Bedford, MA",,S Pacific,1846,1846,1850,1850,,AA1020,Randall & Haskell,0,1800,366,"New Bedford, MA","LC, KWM",NULL,1,"1, 2, 4, 6, 41, 7, 5, 395",AM2637,"Holley, William",,,,,,,,,,AS0099,Courier,Ship,381,"New York, NY",1817,Stone Fleet #1,2-94,NULL,3158,99,,4,.87875003,1.0599999,.33750001,.41,.34,.41,.062745102,16,Matched (3),86438.516,71621.555,381,1861,,4,2274,,.0625,both in master and using data,2,2,21609.629,2,27314,1,
AV06449,1,Henry Thompson : 1847-1850,"New London, CT",,,1847,1847,1850,1850,L,AA0483,"Frink, Chew & Co.",23500,100,2300,New London,,NULL,1,"1, 11, 4, 7, 66, 434, 5, 445",AM2638,"Holm, Joseph H.",,"Aug 11, 1821",Copenhagen,"Nov 20, 1862","Norwich, CT",Louisa Lester,,591,,AS1576,Henry Thompson,Ship,316/315,"Duxbury, MA",1829,"Lost near Diomede Is, July 15, 1851",2-279,NULL,5919,1542,,3,1.002548,1.11,.36000001,.40000001,.30875,.34,.047781572,14,Matched (3),51292,46242.328,315.5,1851,22,3,2276,26,,both in master and using data,2,1,17097.334,1,,,
AV06450,1,Henry Thompson : 1850-1851,"New London, CT",,N Pacific,1850,1850,1851,1851 Jul 14,L,AA0483,"Frink, Chew & Co.",,,,New London,,NULL,1,"1, 11, 4, 7, 117, 66, 268, 434, 5",AM2638,"Holm, Joseph H.",,"Aug 11, 1821",Copenhagen,"Nov 20, 1862","Norwich, CT",Louisa Lester,,591,,AS1576,Henry Thompson,Ship,316/315,"Duxbury, MA",1829,"Lost near Diomede Is, July 15, 1851",2-279,NULL,5920,1542,,1,1.207,1.4400001,.491,.57999998,.34400001,.41,.13095239,33,Matched (3),,,315.5,1851,,1,2276,29,,both in master and using data,2,2,,2,17097.334,,1
AV13953,1,Thriver : 1862-1865,"Beverly, MA",,,1862,1862,1865,1865,L,AA0229,"Choate, F. W.",0,228,3,,,NULL,1,"1, 4, 5",AM2639,"Holman, Marcus",,,,,,,,,,AS2499,Thriver,Schr,99/69,"Essex, MA",1856,"Lost at Haiti, Feb 3, 1873",,NULL,12655,2398,,3,1.425,1.37,.59329998,.56999999,.81999999,.79000002,.17171717,34,Matched (3),13190.94,13720.556,84,1873,,3,2277,,,both in master and using data,2,1,4396.98,1,,,
AV13954,1,Thriver : 1865,"Beverly, MA",,,1865,1865,1865,1865,L,AA0229,"Choate, F. W.",0,176,103,,,NULL,1,"7, 5",AM2639,Holman,,,,,,,,,,AS2499,Thriver,Schr,99/69,"Essex, MA",1856,"Lost at Haiti, Feb 3, 1873",4-303,NULL,12656,2398,,0,2.25,1.22,1.45,.77999997,1.71,.92000002,.10344828,15,Matched (3),12392.521,22904.701,84,1873,,1,2277,,,both in master and using data,2,2,12392.521,2,4396.98,,1
AV05924,1,Governor Endicott : 1838-1839,"Mystic, CT",,South Seas,1838,1838 Jul 11,1839,1839 Sep 5,L,AA1024,"Randall, J. & W. P.",0,0,1300,New London,,NULL,1,"1, 11, 7, 65, 66, 194, 5, 639",AM2648,"Holmes, Charles K.",,,,,,,,,,AS1490,Governor Endicott,Bark,298,"Salem, MA",1819,"Lost, Australia, July 8, 1840",1-558,NULL,5435,1459,,1,.82999998,.75,.31999999,.28999999,.19499999,.18000001,.050724637,14,Matched (3),15834,17472,298,1840,21,1,2288,39,,both in master and using data,1,1,15834,1,,,
AV05257,1,Franklin : 1871-1872,"New London, CT",,,1871,1871,1872,1872,C,AA1372,"Williams, Haven & Co.",,,,New London,,NULL,1,"1, 11, 4, 7, 66",AM2650 ?,"Holmes, James M.",,,,,,,,,,AS1406,Franklin,Schr,119/77,"Eastport, ME",1833,"Cond and broken up, 1893, 5",4-308,NULL,4816,1373,,1,1.35,1.04,.60000002,.46000001,.78890002,.61000001,.088435374,13,Matched (3),,,98,1893,,1,2291,35,,both in master and using data,3,1,,1,,,
AV05022,1,Flying Fish : 1876-1877,"New London, CT",,Atlantic,1876,1876 Jun 29 #,1877,1877 May 2,A,AA0742,Lawrence & Co.,,,,New London,,NULL,1,"1, 11, 13, 4, 268, 5",AM2650 ?,"Holmes, James M.",,,,,,,,,,AS1380,Flying Fish,Schr,75,"Essex, MA",1857,"Aband off Cape Horn, 1787",,NULL,4609,1347,,1,1.405,1.28,.61000001,.55000001,2.1400001,1.95,.13043478,12,Matched (3),,,75,1878,,1,2291,40,,both in master and using data,3,2,,2,,1,
AV05884,1,Golden West : 1877-1878,"New London, CT",,Atlantic,1877,1877 Jun 28 #,1878,1878 May 2,C,,NULL,,,,New London,MSM,NULL,1,"1, 11, 13, 6, 64, 268, 434, 5",AM2650 ?,"Holmes, James M.**",D,,,,,,,,,AS1483,Golden West,Schr,99/144,"Newburyport, MA",1853,"Cond, Magellan St, c. 1880",,NULL,5395,1452,,1,1.13,1.0700001,.51999998,.49000001,2.5,2.3599999,.09589041,7,Matched (3),,,121.5,1880,,1,2291,41,,both in master and using data,3,3,,3,,1,
AV09669,1,Messenger : 1854-1856,"Salem, MA",,St. Thomas,1854,1854 Jun 14,1856,1856,,AA1325,"Webb, Benjamin",1200,231,219,Salem,NBW,NULL,1,"4, 28, 5, 64, 7, 102, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS1936,Messenger,Bark,216/213,"Duxbury, MA",1834,Stone fleet #2,3-499,NULL,8811,1875,,2,1.4875,1.38,.59625,.55000001,.39199999,.36000001,.073248409,23,Matched (3),18879.66,20386.432,214.5,1861,27,2,2292,,,both in master and using data,7,1,9439.8301,1,,,
AV09670,1,Messenger : 1857-1859,"Salem, MA",,"Atlantic, W Indies",1857,1857 Apr 29,1859,1859 Aug 25,,AA1325,"Webb, Benjamin",0,397,114,Salem,PEM,NULL,1,"1, 28, 4, 6, 7, 420, 102, 5, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS1936,Messenger,Bark,216/213,"Duxbury, MA",1834,Stone fleet #2,3-499,NULL,8812,1875,,2,1.2833,1.16,.73250002,.66000003,.96749997,.87,.10472973,31,Matched (3),22501.92,24904.955,214.5,1861,,2,2292,,,both in master and using data,7,2,11250.96,2,9439.8301,,1
AV09671,1,Messenger : 1860-1861,"Salem, MA",,North and South Atlantic,1860,1860 Apr 18,1861,1861,,AA1325,"Webb, Benjamin",0,330,16,Salem,,NULL,1,"1, 28, 4, 64, 7, 102, 5, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS1936,Messenger,Bark,216/213,"Duxbury, MA",1834,Stone fleet #2,3-499,NULL,8813,1875,,1,1.415,1.52,.495,.52999997,.80199999,.86000001,.069565214,16,Matched (3),21423.359,19944.539,214.5,1861,,1,2292,,,both in master and using data,7,3,21423.359,3,11250.96,,1
AV04846,1,Falcon : 1862-1863,"Salem, MA",,North and South Atlantic,1862,1862 May 19,1863,1863 Jul 26,,AA0941,"Osgood, John C.",0,418,40,Salem,,NULL,1,"1, 28, 4, 64, 102, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS1347,Falcon,Brig,159/126,"Hanover, MA",1862,,,NULL,4442,1311,,1,1.425,1.37,.59329998,.56999999,.81999999,.79000002,.17171717,34,Matched (3),25009.32,26014.043,142.5,1871,,1,2292,,,both in master and using data,7,4,25009.32,4,21423.359,1,
AV04847,1,Falcon : 1863-1864,"Salem, MA",,North and South Atlantic,1863,1863 Aug 31,1864,1864,,AA0941,"Osgood, John C.",0,170,20,Salem,,NULL,1,"1, 28, 4, 64, 7, 102, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS1347,Falcon,Brig,159/126,"Hanover, MA",1862,,,NULL,4443,1311,,1,1.61,1.21,.95249999,.72000003,1.53,1.15,.095808387,16,Matched (3),9244.2002,12295.5,142.5,1871,,1,2292,,,both in master and using data,7,5,9244.2002,5,25009.32,,1
AV04848,1,Falcon : 1864-1866,"Salem, MA",,South Atlantic,1864,1864 Dec 31,1866,1866,,AA0941,"Osgood, John C.",470,415,31,Salem,,NULL,1,"1, 28, 4, 7, 102, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS1347,Falcon,Brig,159/126,"Hanover, MA",1862,,,NULL,4444,1311,,2,1.78,.92000002,1.28,.66000003,1.8,.93000001,.11111111,18,Matched (3),17332.02,33537.961,142.5,1871,,2,2292,45,,both in master and using data,7,6,8666.0098,6,9244.2002,,1
AV12718,1,Said Bin Sultan : 1867-1871,"Salem, MA",,Atlantic and Pacific,1867,1867 Jun 12,1871,1871,So,AA0941,"Osgood, John C.",0,704,149,Salem,,NULL,1,"1, 28, 4, 7, 102, 5, 622",AM2651,"Holmes, James W.",,,,,,,,590,,AS2333,Said Bin Sultan,Bark,302/235/231,"Newbury, MA",1850,Sold to Bostonm 1872,4-369,NULL,11575,2238,,4,2.2349999,1.38,.73250002,.44999999,1.175,.73000002,.082278483,13,Matched (3),43619.941,70668.461,256,1872,22,4,2292,,,both in master and using data,7,7,10904.985,7,8666.0098,1,
AV10694,1,Ocean : 1878,"New Bedford, MA",,Atlantic,1878,1878 Jul 10,1878,1878 Sep 26,,AA0103,"Bartlett, Ivory H.",0,40,0,New Bedford,PPL,NULL,1,"1, 13, 6, 5, 76",AM2653,"Holmes, John Norris",,1841,,1889,"Equiminq, Angola",Adelaide W. Luce,1,"320, 76, 574, 591",,AS0515,Ocean,Bark / Ship,350/349/289/288/274,"Haddam, CT",1822,Withdr,,NULL,9715,504,,0,.91500002,1.01,.44,.47999999,2.46,2.7,.10280374,11,Matched (3),1696.7999,1537.2001,310,1890,,1,2294,,,both in master and using data,3,1,1696.7999,1,,,
AV13072,1,Sea Ranger : 1879-1884,"New Bedford, MA",,Atlantic,1879,1879 May 31,1884,1884,L,AA0103,"Bartlett, Ivory H.",0,1250,1250,New Bedford,"PPL, NBW, KWM",NULL,1,"1, 13, 6, 5, 248, 395",AM2653,"Holmes, John Norris",,1841,,1889,"Equiminq, Angola",Adelaide W. Luce,,"320, 76, 574, 591",,AS0638,Sea Ranger,Bark,366/273/259,"Mattapoisett, MA",1856,"Lost off Kayak Is, Alaska, May 24, 1893",,NULL,11885,628,,5,.84500003,.94,.38999999,.43000001,2.3399999,2.5999999,.043956045,4,Matched (3),71925,64837.5,299.33334,1893,,5,2294,,,both in master and using data,3,2,14385,2,1696.7999,1,
AV13029,1,Sea Fox : 1887-1889,"New Bedford, MA",,Pacific,1887,1887 Jul 12,1889,1889 Jul 30,So,AA0729,"Knowles, John P., II",500,930,80,New Bedford,,NULL,1,"1, 13, 262, 320, 395, 5",AM2653,"Holmes, John Norris**",D,1841,,1889,"Equiminq, Angola",Adelaide W. Luce,,"320, 76, 574, 591",,AS0643,Sea Fox,Bark / Brig Or Bark,246/166/158,"New Bedford, MA",1851,"Sold foreign, 1890",,NULL,11849,633,,2,.66000003,.77999997,.31999999,.38,3.1199999,3.6700001,.1,9,Matched (3),33578.598,28414.801,190,1890,,2,2294,,,both in master and using data,3,3,16789.299,3,14385,1,
AV03095,1,Columbus : 1839-1840,"New London, CT",,,1839,1839,1840,1840,C,AA1364,Williams & Barnes,0,450,0,New London,,NULL,1,"11, 4, 7, 66, 5, 434",AM2657,"Holt, Caleb Strong",,,,,,,,,,AS0143,Columbus,Brig,159/153/152,"Westport, MA",1822,"Cond at Johanna, Sept, 1850",1-126,NULL,2819,143,,1,1.03,.92000002,.345,.31,.1825,.16,.059859157,17,Matched (3),17388,19467,154.66667,1850,,1,2297,24,,both in master and using data,7,1,17388,1,,,
AV03096,1,Columbus : 1840-1841,"New London, CT",,,1840,1840,1841,1841,C,AA1364,Williams & Barnes,0,650,0,New London,,NULL,1,"1, 11, 7, 66, 5, 434",AM2657,"Holt, Caleb Strong",,,,,,,,,,AS0143,Columbus,Brig,159/153/152,"Westport, MA",1822,"Cond at Johanna, Sept, 1850",1-126,NULL,2820,143,,1,1,1.05,.30000001,.31999999,.19,.2,.033457249,9,Matched (3),28664.998,27300,154.66667,1850,28,1,2297,25,,both in master and using data,7,2,28664.998,2,17388,,1
AV03097,1,Columbus : 1841-1842,"New London, CT",,,1841,1841,1842,1842,C,AA1364,Williams & Barnes,0,600,0,New London,,NULL,1,"1, 11, 4, 7, 66, 5, 434",AM2657,"Holt, Caleb Strong",,,,,,,,,,AS0143,Columbus,Brig,159/153/152,"Westport, MA",1822,"Cond at Johanna, Sept, 1850",1-126,NULL,2821,143,,1,.94,1.02,.3175,.34999999,.19670001,.20999999,.062271062,17,Matched (3),25704,23688,154.66667,1850,,1,2297,26,,both in master and using data,7,3,25704,3,28664.998,,1
AV05528,1,General Williams : 1843-1845,"New London, CT",,,1843,1843,1845,1845,B,AA1364,Williams & Barnes,40000,0,4000,New London,MAU,1,1,"1, 11, 4, 7, 335, 5, 434",AM2657,"Holt, Caleb Strong",,,,,,,,,,AS1445,General Williams,Ship,446/419,"Stonington, CT",1831,"Burned by Shenandoah, June 26, 1865",1-215,NULL,5067,1414,30.182392,2,.63,.83999997,.345,.46000001,.35749999,.47999999,.077738516,22,Matched (3),96480,72260,432.5,1865,,2,2297,28,,both in master and using data,7,4,48240,4,25704,1,
AV05739,1,George Washington : 1845-1848,"New London, CT",,,1845,1845 Jul 28,1848,1848 May 19,B,AA1364,Williams & Barnes,43059,500,4000,New London,MAU,1,1,"1, 11, 4, 5, 7, 66, 335, 445",AM2657,"Holt, Caleb Strong",,,,,,,,,,AS1461,George Washington,Ship,609,"New Bedford, MA",1832,"Burned at Talcahuano, Mar 16, 1856",1-204,NULL,5263,1430,30.569302,3,.88,1.0599999,.32875001,.40000001,.33625001,.41,.11145511,36,Matched (3),107114.19,88188.594,609,1856,,3,2297,30,,both in master and using data,7,5,35704.73,5,48240,1,
AV01250,1,Armata : 1849-1851,"New London, CT",,N Pacific,1849,1849,1851,1851 Jul 10,L,AA1364,Williams & Barnes,65300,128,2027,New London,,NULL,1,"1, 11, 4, 5, 65, 7, 268, 5, 434",AM2657,"Holt, Caleb Strong",,,,,,,,,,AS0912,Armata,Ship,414/299,New York,1811,,2-9,NULL,1150,888,,2,1.089,1.33,.39899999,.49000001,.31799999,.38999999,.050632913,12,Matched (3),74332.742,60588.328,356.5,1851,,2,2297,34,,both in master and using data,7,6,37166.371,6,35704.73,1,
AV03659,1,Delaware : 1852-1857,"New London, CT",,N Pacific,1852,1852 Jul 14,1857,1857 May 8,L,AA1364,Williams & Barnes,62200,0,2866,New London,KWM,NULL,1,"1, 4, 11, 7, 66, 161, 5",AM2657,"Holt, Caleb Strong***",L,,,,,,,,,AS1198,Delaware,Bark,300/299,"Damariscotta, ME",1848,"Lost, Ballenas Bar, Lower Calif, Dec 25, 1860",3-539,NULL,3349,1164,,5,1.2375,1.41,.68167001,.76999998,.50749999,.57999998,.084269665,15,Matched (3),128762.44,113620.48,299.5,1860,12,5,2297,37,,both in master and using data,7,7,25752.488,7,37166.371,1,
AV06859,1,Hunter : 1871-1875,"New Bedford, MA",,Pacific,1871,1871 Sep 26,1875,1875,L,AA0140,"Bourne, Jonathan, Jr.",0,2700,1100,New Bedford,,NULL,1,"1, 4, 5, 7, 277, 436",AM2658,"Holt, Charles L.",,,Edgartown,"Apr 9, 1883","Edgartown, MA",?? Dillingham,,"665, 591",,AS0288,Hunter,Bark / Bark ?,453/355/337,"Gardiner, ME",1851,"Lost, 1900, Cape Romanoff, AK",4-89; 4-470,NULL,6297,282,,4,1.35,1.04,.60000002,.46000001,.78890002,.61000001,.088435374,13,Matched (3),139188,180810,381.66666,1900,,4,2298,,,both in master and using data,2,1,34797,1,,,
AV06860,1,Hunter : 1875-1878,"New Bedford, MA",,Pacific,1875,1875 Sep 20,1878,1878 Nov 11,L,AA0140,"Bourne, Jonathan, Jr.",3500,900,750,New Bedford,KWM,1,1,"1, 13, 4, 6, 41, 5, 436",AM2658,"Holt, Charles L.***",L,,Edgartown,"Apr 9, 1883","Edgartown, MA",?? Dillingham,,"665, 591",,AS0288,Hunter,Bark / Bark ?,453/355/337,"Gardiner, ME",1851,"Lost, 1900, Cape Romanoff, AK",,NULL,6298,282,22.830317,3,1.6033,1.36,.65249997,.55000001,1.2707,1.08,.15217391,14,Matched (3),72513,85605.938,381.66666,1900,,3,2298,,,both in master and using data,2,2,24171,2,34797,,1
AV05249,1,Franklin : 1857-1859,"New London, CT",,,1857,1857 #,1859,1859,C,AA0972,Perkins & Smith,0,0,15,New London,,NULL,1,"1, 11, 4, 7, 66",AM2659,"Holt, Henry W.",,"June 10, 1819",,"Aug, 1862","New London, CT",Lucy A.,,591,,AS1406,Franklin,Schr,119/77,"Eastport, ME",1833,"Cond and broken up, 1893, 5",3-544,NULL,4809,1373,,2,1.2833,1.16,.73250002,.66000003,.96749997,.87,.10472973,31,Matched (3),415.80002,461.47501,98,1893,,2,2299,38,,both in master and using data,1,1,207.90001,1,,,
AV06852,1,Hunter : 1851-1854,"New Bedford, MA",,N Pacific,1851,1851,1854,1854,L,AA0140,"Bourne, Jonathan, Jr.",31810,170,2565,New Bedford,NBW,NULL,1,"1, 4, 6, 5, 7, 395, 436",AM2660,"Holt, John R.",,,,,,,,,,AS0288,Hunter,Bark / Bark ?,453/355/337,"Gardiner, ME",1851,"Lost, 1900, Cape Romanoff, AK",2-288,NULL,6290,282,,3,1.2725,1.53,.453125,.55000001,.345,.41999999,.078291818,22,Matched (3),83535.898,68875.258,381.66666,1900,,3,2300,,.071428575,both in master and using data,1,1,27845.299,1,,,
AV03410,1,Cortes : 1830-1834,"New Bedford, MA",,Pacific,1830,1830,1834,1834,B,AA0636,"Howland, George",0,2470,0,"New Bedford, MA",,NULL,1,"1, 4, 5, 7, 395",AM2661,"Holway, Daniel",,,,,,,,,,AS0098,Cortes,Ship,382,"New Bedford, MA",1820,"Burned by the crew, 1858",1-72,NULL,3118,98,,4,.65499997,.72000003,.38999999,.43000001,.2,.22,.043795619,6,Matched (3),74692.805,67949.695,382,1858,38,4,2301,,,both in master and using data,1,1,18673.201,1,,,
AV10002,1,Montezuma : 1857-1861,"New London, CT",,Pacific,1857,1857,1861,1861,,AA1364,Williams & Barnes,38572,130,2348,New London,PPL,NULL,1,"1, 11, 4, 6, 5, 7, 66",AM2662,"Homan, Benjamin Franklin",,,,,,,,,,AS1970,Montezuma,Ship,424,,1841,Stone Fleet #2,3-564,NULL,9111,1904,,4,1.2833,1.16,.73250002,.66000003,.96749997,.87,.10472973,31,Matched (3),104977.8,116561.45,424,1861,,4,2302,35,,both in master and using data,2,1,26244.451,1,,,
AV03408,1,Cornelius Howland : 1874-1876,"New Bedford, MA",,N Pacific,1874,1874 Aug 3,1876,1876 Sep 5,A,AA1237,Swift & Perry,18000,600,2620,New Bedford,,NULL,1,"1, 4, 5",AM2662,"Homan, Benjamin Franklin",,,,,,,,,,AS0103,Cornelius Howland,Ship,431/333,"New Bedford, MA",1851,"Aband in the Arctic, 1876",,NULL,3116,103,,2,1.59,1.26,.60500002,.47999999,1.1,.87,.029411765,2,Matched (3),100231.2,126442.2,382,1876,,2,2302,,,both in master and using data,2,2,50115.598,2,26244.451,1,
AV03405,1,Cornelius Howland : 1863-1867,"New Bedford, MA",,N Pacific,1863,1863 Nov 2,1867,1867 Apr 21,A,AA0635,"Howland, Edward W.",70800,173,5798,New Bedford,"KWM, PPL",NULL,1,"1, 2, 4, 69, 6, 7, 5, 395",AM2662 ?,"Homan, Benjamin Franklin*** ?",L,,,,,,,,,AS0103,Cornelius Howland,Ship,431/333,"New Bedford, MA",1851,"Aband in the Arctic, 1876",4-38,1,3113,103,,4,1.61,1.21,.95249999,.72000003,1.53,1.15,.095808387,16,Matched (3),265543.38,351971.25,382,1876,,4,2303,,,both in master and using data,2,1,66385.844,1,,,
AV03407,1,Cornelius Howland : 1867-1871,"New Bedford, MA",,"Baja, Pacific",1867,1867 Nov 12,1871,1871 May 7,A,AA0635,"Howland, Edward W.",62676,119,4151,New Bedford,"PPL, NBL",1,1,"1, 4, 6, 7, 5, 395",AM2662 ?,"Homan, Benjamin Franklin*** ?",L,,,,,,,,,AS0103,Cornelius Howland,Ship,431/333,"New Bedford, MA",1851,"Aband in the Arctic, 1876",4-35,NULL,3115,103,30.29125,4,2.2349999,1.38,.73250002,.44999999,1.175,.73000002,.082278483,13,Matched (3),131104.63,212520.34,382,1876,,4,2303,,,both in master and using data,2,2,32776.156,2,66385.844,,1
AV02025,1,Brandt : 1849-1852,"New Bedford, MA",,Indian,1849,1849,1852,1852,L,AA0511,"Gibbs, Alexander",1200,1088,141,New Bedford,NBL,1,1,"1, 2, 4 , 6, 7, 5, 395",AM2663,"Honeywell, John M.",,"April, 1817",New Shoreham ?,"Oct 12, 1882","Providence, RI",Jane S. Kempton,,591,,AS0066,Brandt,Ship,310,"Athens, NY",1815,"Lost, Galapagos Is, 1853",2-55,NULL,1848,66,19.896729,3,1.089,1.33,.39899999,.49000001,.31799999,.38999999,.050632913,12,Matched (3),64145.461,52507.422,310,1853,,3,2304,,.05882353,both in master and using data,9,1,21381.82,1,,,
AV06667,1,Hibernia : 1853-1857,"New Bedford, MA",,"Baja, Pacific",1853,1853,1857,1857 Aug 8,C,AA0515,"Gibbs, Robert",12000,799,1182,New Bedford,"PPL, MSM",NULL,1,"1, 4, 6, 7, 5, 395",AM2663,"Honeywell, John M.",,"April, 1817",New Shoreham ?,"Oct 12, 1882","Providence, RI",Jane S. Kempton,,591,,AS0273,Hibernia,Ship,327,New York,1811,"Broken up abroad, c. 1860",2-287; 2-288,NULL,6121,268,,4,1.2474999,1.29,.58125001,.60000002,.345,.36000001,.074193545,23,Matched (3),77396.219,74859.18,327,1860,,4,2304,,.071428575,both in master and using data,9,2,19349.055,2,21381.82,1,
AV12552,1,Roscius : 1861-1862,"New Bedford, MA",,Atlantic and Pacific,1861,1861 Oct 8,1862,1862 Dec 26,C,AA0647,"Howland, William Penn",0,548,8,New Bedford,"KWM, SLU",1,1,"1, 4, 6, 7, 395, 5, 746",AM2663,"Honeywell, John M.",,"April, 1817",New Shoreham ?,"Oct 12, 1882","Providence, RI",Jane S. Kempton,,591,,AS0583,Roscius,Bark / Ship,301,"Duxbury, MA",1825,"Cond at Barbados Mar, 1867",3-444,NULL,11420,572,4.883852,1,1.3150001,1.48,.4425,.5,.66000003,.74000001,.052401748,12,Matched (3),34231.68,30414.721,301,1867,,1,2304,,,both in master and using data,9,3,34231.68,3,19349.055,1,
AV12553,1,Roscius : 1863,"New Bedford, MA",,,1863,1863 Mar 26,1863,1863,C,AA0647,"Howland, William Penn",0,680,0,New Bedford,KWM,NULL,1,"1, 2, 4, 6, 7, 5",AM2663,"Honeywell, John M.",,"April, 1817",New Shoreham ?,"Oct 12, 1882","Providence, RI",Jane S. Kempton,,591,,AS0583,Roscius,Bark / Ship,301,"Duxbury, MA",1825,"Cond at Barbados Mar, 1867",4-182,NULL,11421,572,,0,1.61,1.21,.95249999,.72000003,1.53,1.15,.095808387,16,Matched (3),34557.602,45981.602,301,1867,,1,2304,,,both in master and using data,9,4,34557.602,4,34231.68,,1
